"Iteration","Thrust (Turbine1) Monitor: Thrust (Turbine1) Monitor (N)","Thrust (Turbine2) Monitor: Thrust (Turbine2) Monitor (N)"
487.0,510454.8626390977,338560.28186647483
488.0,510453.1177455503,338562.0247973318
489.0,510451.40718978824,338563.7469638163
490.0,510449.73129562417,338565.4462851891
491.0,510448.0901270794,338567.1205432409
492.0,510446.48354829167,338568.7674347132
493.0,510444.91167193645,338570.3847624809
494.0,510443.37440895627,338571.970416845
495.0,510441.8718223197,338573.5224481969
496.0,510440.40360377834,338575.03914216557
497.0,510438.96911637764,338576.51901905704
498.0,510437.56728688825,338577.9609268702
499.0,510436.19744369027,338579.3641163382
500.0,510434.85881617066,338580.72816280473
501.0,510433.5506029878,338582.05298362795
502.0,510432.271894479,338583.33880908054
503.0,510431.0216505048,338584.5861155457
504.0,510429.7982768095,338585.79566287616
505.0,510428.60074136994,338586.96845112793
506.0,510427.42805416085,338588.10561841575
507.0,510426.2791453464,338589.20841082867
508.0,510425.1529956912,338590.2781527231
509.0,510424.0486667815,338591.3161853652
510.0,510422.9651068928,338592.3237701027
511.0,510421.9009589836,338593.30219700193
512.0,510420.85536926525,338594.25269367924
513.0,510419.82760072226,338595.1763905246
514.0,510418.817001898,338596.07433704496
515.0,510417.8232699707,338596.94747860654
516.0,510416.845741104,338597.79668427864
517.0,510415.88382784376,338598.6227488068
518.0,510414.9370493667,338599.4263045671
519.0,510414.00472382124,338600.20802553406
520.0,510413.0866228933,338600.9685340487
521.0,510412.18257202464,338601.70840446046
522.0,510411.2924814154,338602.42818645015
523.0,510410.41630537703,338603.12842337065
524.0,510409.5539982369,338603.80966786016
525.0,510408.70551224,338604.4724924331
526.0,510407.8707838605,338605.11749307817
527.0,510407.04974865547,338605.74529574264
528.0,510406.2423292637,338606.3565643816
529.0,510405.4484297241,338606.9519930072
530.0,510404.66793888086,338607.53229681205
531.0,510403.90072391386,338608.09813272284
532.0,510403.1463720736,338608.65026400273
533.0,510402.40477326565,338609.18945198646
534.0,510401.67581331107,338609.71643760515
535.0,510400.9593907789,338610.2319484215
536.0,510400.2553854429,338610.7366896847
537.0,510399.5636397991,338611.23133632325
538.0,510398.8839587144,338611.7165288739
539.0,510398.2161180579,338612.1928680688
540.0,510397.5598664196,338612.6609279332
541.0,510396.91494131257,338613.1211520889
542.0,510396.2810772955,338613.57397005806
543.0,510395.6580110256,338614.01981181174
544.0,510395.045480469,338614.4590465469
545.0,510394.4432301398,338614.89198995795
546.0,510393.8510166114,338615.3188871144
547.0,510393.5081146094,338615.42631433875
548.0,510393.65780446044,338616.31395444
549.0,510393.92170514114,338617.73251908517
550.0,510394.3862982242,338619.6768812885
551.0,510395.0793098021,338621.8949648092
552.0,510395.9487688804,338624.11544085847
553.0,510396.9556667688,338626.1409631577
554.0,510398.09405299654,338627.9215237528
