"Iteration","Torque (Turbine1) Monitor: Torque (Turbine1) Monitor (N-m)","Torque (Turbine2) Monitor: Torque (Turbine2) Monitor (N-m)"
646.0,35612.2348797783,89345.68715275469
647.0,35612.2262833132,89345.8106413778
648.0,35612.21788705609,89345.93128207383
649.0,35612.209686079834,89346.04914289666
650.0,35612.20167559011,89346.16429019981
651.0,35612.19385091629,89346.27678865806
652.0,35612.1862074979,89346.38670133619
653.0,35612.17874088818,89346.49408941659
654.0,35612.171446744294,89346.59901253668
655.0,35612.1643208341,89346.7015291003
656.0,35612.15735904523,89346.80169611031
657.0,35612.150557382076,89346.89956895076
658.0,35612.14391196881,89346.99520145937
659.0,35612.13741905079,89347.08864604152
660.0,35612.13107498192,89347.17995385679
661.0,35612.12487622615,89347.26917481664
662.0,35612.118819350675,89347.35635753648
663.0,35612.1129010155,89347.44154938683
664.0,35612.10711782253,89347.52490123277
665.0,35612.101464959145,89347.60633108288
666.0,35612.095939997074,89347.68589602108
667.0,35612.090540560224,89347.76363576009
668.0,35612.08526422444,89347.8395875695
669.0,35612.08010847418,89347.91379163633
670.0,35612.07507057773,89347.9863800522
671.0,35612.07014647506,89348.05728735108
672.0,35612.06533404819,89348.12656701374
673.0,35612.06063115336,89348.19425681638
674.0,35612.05603557434,89348.26039149788
675.0,35612.05154488822,89348.32508629104
676.0,35612.047155490785,89348.3882825581
677.0,35612.04286551438,89348.45002744297
678.0,35612.03867309777,89348.51035473618
679.0,35612.03457621969,89348.56936703128
680.0,35612.030571761716,89348.62701087631
681.0,35612.026658112496,89348.6833295571
682.0,35612.022833591865,89348.73835480344
683.0,35612.01909632131,89348.79218072299
684.0,35612.01544339763,89348.84475917357
685.0,35612.011873282594,89348.89612954817
686.0,35612.00838440738,89348.94632057188
687.0,35612.004975050135,89348.99541798013
688.0,35612.001642578376,89349.04337793164
689.0,35611.99838560765,89349.0902364078
690.0,35611.99520264262,89349.13607400935
691.0,35611.99209135206,89349.18084885391
